id,protein_id,tissue,gender,tpm,tpm_rank,tpm_rank_bysex,tpm_level,tpm_level_bysex,tpm_f,tpm_m,log2foldchange,tau,tau_bysex,uberon_id
805582,9076,Brain - Cortex,F,8.663,0.173,0.137,Low,Low,8.663,7.91,0.117,0.558,0.542,UBERON:0000956
805584,9076,Brain - Frontal Cortex (BA9),F,10,0.255,0.216,Medium,Low,10,9.722,0.037,0.558,0.542,UBERON:0001870
805586,9076,Brain - Hippocampus,F,7.81,0.102,0.098,Low,Low,7.81,7.06,0.128,0.558,0.542,UBERON:0022430
805588,9076,Brain - Hypothalamus,F,9.658,0.204,0.176,Low,Low,9.658,9.962,-0.041,0.558,0.542,UBERON:0001898
805590,9076,Brain - Nucleus accumbens (basal ganglia),F,11.11,0.337,0.294,Medium,Medium,11.11,10.38,0.09,0.558,0.542,UBERON:0001882
805592,9076,Brain - Putamen (basal ganglia),F,7.432,0.092,0.078,Low,Low,7.432,7.318,0.02,0.558,0.542,UBERON:0001874
805594,9076,Brain - Spinal cord (cervical c-1),F,12.31,0.398,0.373,Medium,Medium,12.31,14.52,-0.222,0.558,0.542,UBERON:0006469
805596,9076,Brain - Substantia nigra,F,10.238,0.276,0.255,Medium,Medium,10.238,8.254,0.28,0.558,0.542,UBERON:0002038
805598,9076,Breast - Mammary Tissue,F,21.415,0.714,0.686,Medium,Medium,21.415,20.465,0.062,0.558,0.542,UBERON:0001911
805606,9076,Colon - Sigmoid,F,36.785,0.959,0.941,High,High,36.785,36.48,0.012,0.558,0.542,UBERON:0001159
805608,9076,Colon - Transverse,F,11.44,0.367,0.353,Medium,Medium,11.44,10.51,0.112,0.558,0.542,UBERON:0001157
805610,9076,Esophagus - Gastroesophageal Junction,F,38.23,0.98,0.98,High,High,38.23,35.305,0.112,0.558,0.542,UBERON:0007650
805612,9076,Esophagus - Mucosa,F,13.58,0.459,0.431,Medium,Medium,13.58,12.84,0.075,0.558,0.542,UBERON:0002469
805614,9076,Esophagus - Muscularis,F,36.925,0.969,0.961,High,High,36.925,35.705,0.047,0.558,0.542,UBERON:0004648
805616,9076,Fallopian Tube,F,25.53,0.796,0.784,High,High,,,,0.558,0.542,UBERON:0003889
805617,9076,Heart - Atrial Appendage,F,11.28,0.347,0.314,Medium,Medium,11.28,11.785,-0.058,0.558,0.542,UBERON:0006618
805619,9076,Heart - Left Ventricle,F,6.544,0.061,0.059,Low,Low,6.544,6.262,0.055,0.558,0.542,UBERON:0002084
805621,9076,Kidney - Cortex,F,13.14,0.439,0.392,Medium,Medium,13.14,7.985,0.654,0.558,0.542,UBERON:0001225
805623,9076,Liver,F,6.328,0.031,0.02,Low,Low,6.328,5.763,0.116,0.558,0.542,UBERON:0002107
805625,9076,Lung,F,21.01,0.704,0.667,Medium,Medium,21.01,20.56,0.03,0.558,0.542,UBERON:0002048
805627,9076,Minor Salivary Gland,F,15.775,0.571,0.549,Medium,Medium,15.775,14.065,0.155,0.558,0.542,UBERON:0001830
805629,9076,Muscle - Skeletal,F,15.69,0.561,0.529,Medium,Medium,15.69,15.4,0.025,0.558,0.542,UBERON:0001134
805631,9076,Nerve - Tibial,F,25.105,0.776,0.745,High,Medium,25.105,24.32,0.044,0.558,0.542,UBERON:0001323
805633,9076,Ovary,F,32.68,0.888,0.882,High,High,,,,0.558,0.542,UBERON:0000992
805634,9076,Pancreas,F,6.364,0.041,0.039,Low,Low,6.364,6.525,-0.031,0.558,0.542,UBERON:0001264
805636,9076,Pituitary,F,16.01,0.592,0.569,Medium,Medium,16.01,15.935,0.006,0.558,0.542,UBERON:0000007
805638,9076,Prostate,M,22.53,0.735,0.766,Medium,High,,,,0.558,0.579,UBERON:0002367
805639,9076,Skin - Not Sun Exposed (Suprapubic),F,14.41,0.51,0.49,Medium,Medium,14.41,12.16,0.228,0.558,0.542,UBERON:0002097
805641,9076,Skin - Sun Exposed (Lower leg),F,13.86,0.469,0.451,Medium,Medium,13.86,12.93,0.093,0.558,0.542,UBERON:002097
805643,9076,Small Intestine - Terminal Ileum,F,11.36,0.357,0.333,Medium,Medium,11.36,11.05,0.037,0.558,0.542,UBERON:0002116
805645,9076,Spleen,F,17.69,0.633,0.608,Medium,Medium,17.69,16.57,0.089,0.558,0.542,UBERON:0002106
805647,9076,Stomach,F,13.405,0.449,0.412,Medium,Medium,13.405,14.025,-0.061,0.558,0.542,UBERON:0000945
805649,9076,Testis,M,19.22,0.653,0.681,Medium,Medium,,,,0.558,0.579,UBERON:0000473
805650,9076,Thyroid,F,24.43,0.765,0.725,High,Medium,24.43,26.19,-0.097,0.558,0.542,UBERON:0002046
805652,9076,Uterus,F,31.96,0.867,0.843,High,High,,,,0.558,0.542,UBERON:0000995
805653,9076,Vagina,F,20.225,0.663,0.647,Medium,Medium,,,,0.558,0.542,UBERON:0000996
805654,9076,Whole Blood,F,14.11,0.5,0.471,Medium,Medium,14.11,12.53,0.159,0.558,0.542,UBERON:0000178
1188169,9123,Adipose - Subcutaneous,F,21.31,0.653,0.608,Medium,Medium,21.31,22.05,-0.047,0.473,0.459,UBERON:0002190
1188171,9123,Adipose - Visceral (Omentum),F,15.95,0.439,0.431,Medium,Medium,15.95,16.5,-0.046,0.473,0.459,UBERON:0014454
1188173,9123,Adrenal Gland,F,26.36,0.867,0.863,High,High,26.36,25.33,0.055,0.473,0.459,UBERON:0002369
1188175,9123,Artery - Aorta,F,22.47,0.714,0.647,Medium,Medium,22.47,21.53,0.059,0.473,0.459,UBERON:0000947
1188177,9123,Artery - Coronary,F,22.75,0.745,0.686,Medium,Medium,22.75,22.49,0.016,0.473,0.459,UBERON:0001621
1188179,9123,Artery - Tibial,F,24.88,0.806,0.765,High,High,24.88,24.4,0.027,0.473,0.459,UBERON:0007610
1188183,9123,Brain - Amygdala,F,7.92,0.102,0.098,Low,Low,7.92,7.229,0.116,0.473,0.459,UBERON:0001876
1188185,9123,Brain - Anterior cingulate cortex (BA24),F,9.959,0.224,0.216,Low,Low,9.959,8.661,0.182,0.473,0.459,UBERON:0009835
1188187,9123,Brain - Caudate (basal ganglia),F,10.38,0.245,0.235,Low,Low,10.38,9.692,0.09,0.473,0.459,UBERON:0002420
1188189,9123,Brain - Cerebellar Hemisphere,F,32.25,0.969,0.98,High,High,32.25,32.89,-0.028,0.473,0.459,UBERON:0002245
1188191,9123,Brain - Cerebellum,F,27.72,0.898,0.902,High,High,27.72,29.585,-0.091,0.473,0.459,UBERON:0002037
1188193,9123,Brain - Cortex,F,12.63,0.327,0.314,Medium,Medium,12.63,12.75,-0.013,0.473,0.459,UBERON:0000956
1188195,9123,Brain - Frontal Cortex (BA9),F,14.525,0.378,0.353,Medium,Medium,14.525,13.025,0.147,0.473,0.459,UBERON:0001870
1188197,9123,Brain - Hippocampus,F,7.408,0.071,0.059,Low,Low,7.408,8.583,-0.189,0.473,0.459,UBERON:0022430
1188199,9123,Brain - Hypothalamus,F,9.274,0.204,0.196,Low,Low,9.274,11.255,-0.254,0.473,0.459,UBERON:0001898
1188201,9123,Brain - Nucleus accumbens (basal ganglia),F,11.56,0.276,0.255,Medium,Medium,11.56,11.62,-0.007,0.473,0.459,UBERON:0001882
1188203,9123,Brain - Putamen (basal ganglia),F,7.211,0.031,0.039,Low,Low,7.211,8.467,-0.205,0.473,0.459,UBERON:0001874
1188205,9123,Brain - Spinal cord (cervical c-1),F,12.175,0.296,0.275,Medium,Medium,12.175,12.18,-0.001,0.473,0.459,UBERON:0006469
1188207,9123,Brain - Substantia nigra,F,8.555,0.153,0.157,Low,Low,8.555,7.213,0.218,0.473,0.459,UBERON:0002038
1188209,9123,Breast - Mammary Tissue,F,23.38,0.765,0.725,High,Medium,23.38,18.795,0.301,0.473,0.459,UBERON:0001911
1188217,9123,Colon - Sigmoid,F,21.125,0.622,0.569,Medium,Medium,21.125,20.41,0.047,0.473,0.459,UBERON:0001159
1188219,9123,Colon - Transverse,F,15.31,0.398,0.373,Medium,Medium,15.31,13.91,0.129,0.473,0.459,UBERON:0001157
1188221,9123,Esophagus - Gastroesophageal Junction,F,22.67,0.735,0.667,Medium,Medium,22.67,20.89,0.113,0.473,0.459,UBERON:0007650
1188223,9123,Esophagus - Mucosa,F,17.94,0.48,0.451,Medium,Medium,17.94,17.13,0.063,0.473,0.459,UBERON:0002469
1188225,9123,Esophagus - Muscularis,F,22.85,0.755,0.706,High,Medium,22.85,22.285,0.035,0.473,0.459,UBERON:0004648
1188227,9123,Fallopian Tube,F,26.04,0.847,0.824,High,High,,,,0.473,0.459,UBERON:0003889
1188228,9123,Heart - Atrial Appendage,F,8.442,0.133,0.137,Low,Low,8.442,8.992,-0.082,0.473,0.459,UBERON:0006618
1188230,9123,Heart - Left Ventricle,F,6.62,0.02,0.02,Low,Low,6.62,5.732,0.179,0.473,0.459,UBERON:0002084
1188232,9123,Kidney - Cortex,F,15.75,0.429,0.412,Medium,Medium,15.75,10.276,0.571,0.473,0.459,UBERON:0001225
1188234,9123,Liver,F,8.634,0.173,0.176,Low,Low,8.634,7.324,0.211,0.473,0.459,UBERON:0002107
1188236,9123,Lung,F,21.09,0.612,0.549,Medium,Medium,21.09,21.18,-0.006,0.473,0.459,UBERON:0002048
1188238,9123,Minor Salivary Gland,F,18.725,0.52,0.49,Medium,Medium,18.725,18.625,0.007,0.473,0.459,UBERON:0001830
1188240,9123,Muscle - Skeletal,F,12.35,0.316,0.294,Medium,Medium,12.35,11.115,0.14,0.473,0.459,UBERON:0001134
1188242,9123,Nerve - Tibial,F,28.81,0.929,0.941,High,High,28.81,28.98,-0.008,0.473,0.459,UBERON:0001323
1188244,9123,Ovary,F,33.61,1,1,High,High,,,,0.473,0.459,UBERON:0000992
1188245,9123,Pancreas,F,8.124,0.112,0.118,Low,Low,8.124,8.158,-0.005,0.473,0.459,UBERON:0001264
1188247,9123,Pituitary,F,24.45,0.796,0.745,High,Medium,24.45,23.855,0.034,0.473,0.459,UBERON:0000007
1188249,9123,Prostate,M,19.58,0.551,0.596,Medium,Medium,,,,0.473,0.487,UBERON:0002367
1188250,9123,Skin - Not Sun Exposed (Suprapubic),F,19.18,0.541,0.51,Medium,Medium,19.18,18.39,0.058,0.473,0.459,UBERON:0002097
1188252,9123,Skin - Sun Exposed (Lower leg),F,20.58,0.582,0.529,Medium,Medium,20.58,20.3,0.019,0.473,0.459,UBERON:002097
1188254,9123,Small Intestine - Terminal Ileum,F,15.73,0.418,0.392,Medium,Medium,15.73,15.68,0.004,0.473,0.459,UBERON:0002116
1188256,9123,Spleen,F,18.575,0.5,0.471,Medium,Medium,18.575,17.46,0.085,0.473,0.459,UBERON:0002106
1188258,9123,Stomach,F,14.42,0.367,0.333,Medium,Medium,14.42,14.64,-0.02,0.473,0.459,UBERON:0000945
1188260,9123,Testis,M,21.025,0.602,0.681,Medium,Medium,,,,0.473,0.487,UBERON:0000473
1188261,9123,Thyroid,F,21.22,0.643,0.588,Medium,Medium,21.22,22.43,-0.076,0.473,0.459,UBERON:0002046
1188263,9123,Uterus,F,26.34,0.857,0.843,High,High,,,,0.473,0.459,UBERON:0000995
1188264,9123,Vagina,F,22.465,0.704,0.627,Medium,Medium,,,,0.473,0.459,UBERON:0000996
1188265,9123,Whole Blood,F,7.796,0.082,0.078,Low,Low,7.796,7.817,-0.003,0.473,0.459,UBERON:0000178
1300942,9140,Adipose - Subcutaneous,F,3.941,0.439,0.471,Medium,Medium,3.941,3.998,-0.017,0.962,0.97,UBERON:0002190
1300944,9140,Adipose - Visceral (Omentum),F,2.978,0.265,0.255,Medium,Medium,2.978,3.085,-0.038,0.962,0.97,UBERON:0014454
1300946,9140,Adrenal Gland,F,2.397,0.153,0.157,Low,Low,2.397,2.99,-0.232,0.962,0.97,UBERON:0002369
1300948,9140,Artery - Aorta,F,6.951,0.796,0.804,High,High,6.951,8.196,-0.21,0.962,0.97,UBERON:0000947
1300950,9140,Artery - Coronary,F,4.553,0.531,0.569,Medium,Medium,4.553,4.853,-0.076,0.962,0.97,UBERON:0001621
1300952,9140,Artery - Tibial,F,5.161,0.592,0.588,Medium,Medium,5.161,4.456,0.175,0.962,0.97,UBERON:0007610
1300956,9140,Brain - Amygdala,F,3.816,0.418,0.431,Medium,Medium,3.816,3.546,0.083,0.962,0.97,UBERON:0001876
1300958,9140,Brain - Anterior cingulate cortex (BA24),F,3.836,0.429,0.451,Medium,Medium,3.836,4.644,-0.223,0.962,0.97,UBERON:0009835
1300960,9140,Brain - Caudate (basal ganglia),F,8.061,0.878,0.882,High,High,8.061,6.804,0.215,0.962,0.97,UBERON:0002420
1300962,9140,Brain - Cerebellar Hemisphere,F,11.51,0.908,0.922,High,High,11.51,12.215,-0.079,0.962,0.97,UBERON:0002245
1300964,9140,Brain - Cerebellum,F,14.135,0.939,0.941,High,High,14.135,13.815,0.031,0.962,0.97,UBERON:0002037
1300966,9140,Brain - Cortex,F,6.063,0.704,0.725,Medium,Medium,6.063,6.244,-0.037,0.962,0.97,UBERON:0000956
1300968,9140,Brain - Frontal Cortex (BA9),F,5.169,0.602,0.608,Medium,Medium,5.169,4.982,0.044,0.962,0.97,UBERON:0001870
1300970,9140,Brain - Hippocampus,F,3.234,0.316,0.314,Medium,Medium,3.234,3.316,-0.028,0.962,0.97,UBERON:0022430
1300972,9140,Brain - Hypothalamus,F,5.775,0.694,0.706,Medium,Medium,5.775,4.77,0.232,0.962,0.97,UBERON:0001898
1300974,9140,Brain - Nucleus accumbens (basal ganglia),F,7.92,0.867,0.863,High,High,7.92,7.231,0.116,0.962,0.97,UBERON:0001882
1300976,9140,Brain - Putamen (basal ganglia),F,6.128,0.724,0.745,Medium,Medium,6.128,6.25,-0.024,0.962,0.97,UBERON:0001874
1300978,9140,Brain - Spinal cord (cervical c-1),F,5.646,0.673,0.667,Medium,Medium,5.646,5.228,0.094,0.962,0.97,UBERON:0006469
1300980,9140,Brain - Substantia nigra,F,5.287,0.643,0.627,Medium,Medium,5.287,6.092,-0.174,0.962,0.97,UBERON:0002038
1300982,9140,Breast - Mammary Tissue,F,3.378,0.357,0.373,Medium,Medium,3.378,4.044,-0.204,0.962,0.97,UBERON:0001911
1300990,9140,Colon - Sigmoid,F,3.375,0.347,0.353,Medium,Medium,3.375,3.467,-0.03,0.962,0.97,UBERON:0001159
1300992,9140,Colon - Transverse,F,1.858,0.122,0.118,Low,Low,1.858,1.944,-0.043,0.962,0.97,UBERON:0001157
1300994,9140,Esophagus - Gastroesophageal Junction,F,4.096,0.469,0.49,Medium,Medium,4.096,4.202,-0.03,0.962,0.97,UBERON:0007650
1300996,9140,Esophagus - Mucosa,F,1.619,0.092,0.098,Low,Low,1.619,1.665,-0.025,0.962,0.97,UBERON:0002469
1300998,9140,Esophagus - Muscularis,F,3.653,0.388,0.392,Medium,Medium,3.653,3.802,-0.045,0.962,0.97,UBERON:0004648
1301000,9140,Fallopian Tube,F,6.463,0.755,0.765,High,High,,,,0.962,0.97,UBERON:0003889
1301001,9140,Heart - Atrial Appendage,F,1311,0.959,0.961,High,High,1311,1263.5,0.053,0.962,0.97,UBERON:0006618
1301003,9140,Heart - Left Ventricle,F,1909,0.974,0.98,High,High,1909,1909,0,0.962,0.97,UBERON:0002084
1301005,9140,Kidney - Cortex,F,2.655,0.204,0.235,Low,Low,2.655,2.688,-0.013,0.962,0.97,UBERON:0001225
1301007,9140,Liver,F,1.401,0.051,0.059,Low,Low,1.401,1.449,-0.029,0.962,0.97,UBERON:0002107
1301009,9140,Lung,F,6.896,0.786,0.784,High,High,6.896,6.863,0.006,0.962,0.97,UBERON:0002048
1301011,9140,Minor Salivary Gland,F,10.984,0.898,0.902,High,High,10.984,5.187,0.954,0.962,0.97,UBERON:0001830
1301013,9140,Muscle - Skeletal,F,2297,0.99,1,High,High,2297,2472,-0.106,0.962,0.97,UBERON:0001134
1301015,9140,Nerve - Tibial,F,7.084,0.816,0.824,High,High,7.084,7.299,-0.038,0.962,0.97,UBERON:0001323
1301017,9140,Ovary,F,5.464,0.653,0.647,Medium,Medium,,,,0.962,0.97,UBERON:0000992
1301018,9140,Pancreas,F,0.75,0.01,0.02,Low,Low,0.75,0.81,-0.049,0.962,0.97,UBERON:0001264
1301020,9140,Pituitary,F,7.498,0.857,0.843,High,High,7.498,7.058,0.077,0.962,0.97,UBERON:0000007
1301022,9140,Prostate,M,5.48,0.663,0.681,Medium,Medium,,,,0.962,0.97,UBERON:0002367
1301023,9140,Skin - Not Sun Exposed (Suprapubic),F,3.205,0.306,0.294,Medium,Medium,3.205,2.685,0.19,0.962,0.97,UBERON:0002097
1301025,9140,Skin - Sun Exposed (Lower leg),F,2.99,0.281,0.275,Medium,Medium,2.99,2.796,0.072,0.962,0.97,UBERON:002097
1301027,9140,Small Intestine - Terminal Ileum,F,2.423,0.163,0.176,Low,Low,2.423,2.688,-0.108,0.962,0.97,UBERON:0002116
1301029,9140,Spleen,F,4.426,0.5,0.529,Medium,Medium,4.426,5.181,-0.188,0.962,0.97,UBERON:0002106
1301031,9140,Stomach,F,2.495,0.173,0.196,Low,Low,2.495,2.509,-0.006,0.962,0.97,UBERON:0000945
1301033,9140,Testis,M,7.478,0.847,0.872,High,High,,,,0.962,0.97,UBERON:0000473
1301034,9140,Thyroid,F,5.754,0.684,0.686,Medium,Medium,5.754,5.149,0.135,0.962,0.97,UBERON:0002046
1301036,9140,Uterus,F,4.381,0.49,0.51,Medium,Medium,,,,0.962,0.97,UBERON:0000995
1301037,9140,Vagina,F,3.253,0.327,0.333,Medium,Medium,,,,0.962,0.97,UBERON:0000996
1301038,9140,Whole Blood,F,2.526,0.194,0.216,Low,Low,2.526,2.682,-0.062,0.962,0.97,UBERON:0000178
86035,9245,Adipose - Subcutaneous,F,23.76,0.633,0.588,Medium,Medium,23.76,23.56,0.012,0.736,0.728,UBERON:0002190
86037,9245,Adipose - Visceral (Omentum),F,18.8,0.357,0.333,Medium,Medium,18.8,18.735,0.005,0.736,0.728,UBERON:0014454
86039,9245,Adrenal Gland,F,25.53,0.745,0.706,Medium,Medium,25.53,24.12,0.079,0.736,0.728,UBERON:0002369
86041,9245,Artery - Aorta,F,24.05,0.653,0.627,Medium,Medium,24.05,23.02,0.061,0.736,0.728,UBERON:0000947
86043,9245,Artery - Coronary,F,22.05,0.5,0.431,Medium,Medium,22.05,22.57,-0.032,0.736,0.728,UBERON:0001621
86045,9245,Artery - Tibial,F,30.35,0.929,0.941,High,High,30.35,29.465,0.041,0.736,0.728,UBERON:0007610
86049,9245,Brain - Amygdala,F,8.477,0.082,0.059,Low,Low,8.477,7.309,0.19,0.736,0.728,UBERON:0001876
