id,protein_id,tissue,gender,tpm,tpm_rank,tpm_rank_bysex,tpm_level,tpm_level_bysex,tpm_f,tpm_m,log2foldchange,tau,tau_bysex,uberon_id
255683,138,Adipose - Subcutaneous,F,92.42,0.541,0.529,Medium,Medium,92.42,102.8,-0.152,0.588,0.574,UBERON:0002190
255685,138,Adipose - Visceral (Omentum),F,90.89,0.531,0.51,Medium,Medium,90.89,93.17,-0.035,0.588,0.574,UBERON:0014454
255687,138,Adrenal Gland,F,59.47,0.357,0.353,Medium,Medium,59.47,59.63,-0.004,0.588,0.574,UBERON:0002369
255689,138,Artery - Aorta,F,160.4,0.939,0.922,High,High,160.4,164.9,-0.04,0.588,0.574,UBERON:0000947
255691,138,Artery - Coronary,F,133.5,0.786,0.765,High,High,133.5,137,-0.037,0.588,0.574,UBERON:0001621
255693,138,Artery - Tibial,F,199.5,0.99,0.98,High,High,199.5,194.9,0.033,0.588,0.574,UBERON:0007610
255697,138,Brain - Amygdala,F,39.84,0.102,0.098,Low,Low,39.84,35.65,0.156,0.588,0.574,UBERON:0001876
255699,138,Brain - Anterior cingulate cortex (BA24),F,46.625,0.173,0.176,Low,Low,46.625,43.24,0.106,0.588,0.574,UBERON:0009835
255701,138,Brain - Caudate (basal ganglia),F,43.05,0.143,0.137,Low,Low,43.05,41.715,0.044,0.588,0.574,UBERON:0002420
255703,138,Brain - Cerebellar Hemisphere,F,95.61,0.561,0.549,Medium,Medium,95.61,105.2,-0.137,0.588,0.574,UBERON:0002245
255705,138,Brain - Cerebellum,F,101.355,0.622,0.608,Medium,Medium,101.355,102.75,-0.02,0.588,0.574,UBERON:0002037
255707,138,Brain - Cortex,F,46.57,0.163,0.157,Low,Low,46.57,51.09,-0.131,0.588,0.574,UBERON:0000956
255709,138,Brain - Frontal Cortex (BA9),F,54.86,0.306,0.294,Medium,Medium,54.86,53.075,0.047,0.588,0.574,UBERON:0001870
255711,138,Brain - Hippocampus,F,32.88,0.01,0.02,Low,Low,32.88,37.26,-0.175,0.588,0.574,UBERON:0022430
255713,138,Brain - Hypothalamus,F,51.77,0.235,0.255,Low,Medium,51.77,49.295,0.069,0.588,0.574,UBERON:0001898
255715,138,Brain - Nucleus accumbens (basal ganglia),F,49.875,0.204,0.216,Low,Low,49.875,51.97,-0.058,0.588,0.574,UBERON:0001882
255717,138,Brain - Putamen (basal ganglia),F,33.28,0.031,0.039,Low,Low,33.28,36.13,-0.115,0.588,0.574,UBERON:0001874
255719,138,Brain - Spinal cord (cervical c-1),F,58.425,0.337,0.333,Medium,Medium,58.425,54.31,0.104,0.588,0.574,UBERON:0006469
255721,138,Brain - Substantia nigra,F,41.86,0.133,0.118,Low,Low,41.86,38.23,0.128,0.588,0.574,UBERON:0002038
255723,138,Breast - Mammary Tissue,F,113.65,0.704,0.667,Medium,Medium,113.65,99.04,0.197,0.588,0.574,UBERON:0001911
255731,138,Colon - Sigmoid,F,131.9,0.776,0.745,High,Medium,131.9,134.1,-0.024,0.588,0.574,UBERON:0001159
255733,138,Colon - Transverse,F,52.92,0.255,0.275,Medium,Medium,52.92,54.53,-0.042,0.588,0.574,UBERON:0001157
255735,138,Esophagus - Gastroesophageal Junction,F,155.5,0.929,0.902,High,High,155.5,150.95,0.043,0.588,0.574,UBERON:0007650
255737,138,Esophagus - Mucosa,F,80.12,0.48,0.451,Medium,Medium,80.12,78.61,0.027,0.588,0.574,UBERON:0002469
255739,138,Esophagus - Muscularis,F,136.5,0.806,0.784,High,High,136.5,138.95,-0.025,0.588,0.574,UBERON:0004648
255741,138,Fallopian Tube,F,176.8,0.959,0.941,High,High,,,,0.588,0.574,UBERON:0003889
255742,138,Heart - Atrial Appendage,F,61.11,0.388,0.373,Medium,Medium,61.11,61.04,0.002,0.588,0.574,UBERON:0006618
255744,138,Heart - Left Ventricle,F,48.48,0.184,0.196,Low,Low,48.48,41.305,0.226,0.588,0.574,UBERON:0002084
255746,138,Kidney - Cortex,F,83.69,0.5,0.471,Medium,Medium,83.69,64.525,0.37,0.588,0.574,UBERON:0001225
255748,138,Liver,F,35.13,0.041,0.059,Low,Low,35.13,33.16,0.081,0.588,0.574,UBERON:0002107
255750,138,Lung,F,111.6,0.684,0.647,Medium,Medium,111.6,113.5,-0.024,0.588,0.574,UBERON:0002048
255752,138,Minor Salivary Gland,F,79.795,0.469,0.431,Medium,Medium,79.795,80.385,-0.01,0.588,0.574,UBERON:0001830
255754,138,Muscle - Skeletal,F,77.92,0.449,0.412,Medium,Medium,77.92,74.195,0.07,0.588,0.574,UBERON:0001134
255756,138,Nerve - Tibial,F,142.7,0.847,0.824,High,High,142.7,144,-0.013,0.588,0.574,UBERON:0001323
255758,138,Ovary,F,219.4,1,1,High,High,,,,0.588,0.574,UBERON:0000992
255759,138,Pancreas,F,51.725,0.224,0.235,Low,Low,51.725,53.06,-0.036,0.588,0.574,UBERON:0001264
255761,138,Pituitary,F,147.2,0.893,0.863,High,High,147.2,146,0.012,0.588,0.574,UBERON:0000007
255763,138,Prostate,M,119.2,0.714,0.766,Medium,High,,,,0.588,0.566,UBERON:0002367
255764,138,Skin - Not Sun Exposed (Suprapubic),F,100.4,0.602,0.588,Medium,Medium,100.4,100.95,-0.008,0.588,0.574,UBERON:0002097
255766,138,Skin - Sun Exposed (Lower leg),F,107,0.673,0.627,Medium,Medium,107,105.7,0.017,0.588,0.574,UBERON:002097
255768,138,Small Intestine - Terminal Ileum,F,57.815,0.327,0.314,Medium,Medium,57.815,56.05,0.044,0.588,0.574,UBERON:0002116
255770,138,Spleen,F,86.105,0.52,0.49,Medium,Medium,86.105,84.52,0.026,0.588,0.574,UBERON:0002106
255772,138,Stomach,F,69.285,0.418,0.392,Medium,Medium,69.285,70.155,-0.018,0.588,0.574,UBERON:0000945
255774,138,Testis,M,68.98,0.408,0.447,Medium,Medium,,,,0.588,0.566,UBERON:0000473
255775,138,Thyroid,F,138,0.827,0.804,High,High,138,147.2,-0.092,0.588,0.574,UBERON:0002046
255777,138,Uterus,F,191.7,0.969,0.961,High,High,,,,0.588,0.574,UBERON:0000995
255778,138,Vagina,F,119.55,0.724,0.686,Medium,Medium,,,,0.588,0.574,UBERON:0000996
255779,138,Whole Blood,F,36.76,0.071,0.078,Low,Low,36.76,58.815,-0.664,0.588,0.574,UBERON:0000178
789594,218,Adipose - Subcutaneous,F,657.4,0.765,0.725,High,Medium,657.4,768.9,-0.226,0.821,0.808,UBERON:0002190
789596,218,Adipose - Visceral (Omentum),F,569.45,0.735,0.706,Medium,Medium,569.45,588.3,-0.047,0.821,0.808,UBERON:0014454
789598,218,Adrenal Gland,F,127.3,0.367,0.333,Medium,Medium,127.3,126.05,0.014,0.821,0.808,UBERON:0002369
789600,218,Artery - Aorta,F,1130,0.867,0.843,High,High,1130,1175,-0.056,0.821,0.808,UBERON:0000947
789602,218,Artery - Coronary,F,1039,0.857,0.824,High,High,1039,1026,0.018,0.821,0.808,UBERON:0001621
789604,218,Artery - Tibial,F,806,0.806,0.765,High,High,806,880.1,-0.127,0.821,0.808,UBERON:0007610
789608,218,Brain - Amygdala,F,37.1,0.173,0.157,Low,Low,37.1,32.735,0.176,0.821,0.808,UBERON:0001876
789610,218,Brain - Anterior cingulate cortex (BA24),F,34.6,0.153,0.137,Low,Low,34.6,36.14,-0.061,0.821,0.808,UBERON:0009835
789612,218,Brain - Caudate (basal ganglia),F,37.69,0.184,0.176,Low,Low,37.69,31.58,0.248,0.821,0.808,UBERON:0002420
789614,218,Brain - Cerebellar Hemisphere,F,330.2,0.612,0.569,Medium,Medium,330.2,327.15,0.013,0.821,0.808,UBERON:0002245
789616,218,Brain - Cerebellum,F,362.45,0.643,0.608,Medium,Medium,362.45,353,0.038,0.821,0.808,UBERON:0002037
789618,218,Brain - Cortex,F,67.42,0.306,0.294,Medium,Medium,67.42,71.705,-0.088,0.821,0.808,UBERON:0000956
789620,218,Brain - Frontal Cortex (BA9),F,59.93,0.286,0.275,Medium,Medium,59.93,59.26,0.016,0.821,0.808,UBERON:0001870
789622,218,Brain - Hippocampus,F,26.71,0.071,0.078,Low,Low,26.71,29.07,-0.118,0.821,0.808,UBERON:0022430
789624,218,Brain - Hypothalamus,F,58.025,0.255,0.255,Medium,Medium,58.025,61.99,-0.094,0.821,0.808,UBERON:0001898
789626,218,Brain - Nucleus accumbens (basal ganglia),F,33,0.122,0.098,Low,Low,33,33.73,-0.031,0.821,0.808,UBERON:0001882
789628,218,Brain - Putamen (basal ganglia),F,25.37,0.061,0.059,Low,Low,25.37,28.405,-0.157,0.821,0.808,UBERON:0001874
789630,218,Brain - Spinal cord (cervical c-1),F,33.635,0.133,0.118,Low,Low,33.635,24.87,0.421,0.821,0.808,UBERON:0006469
789632,218,Brain - Substantia nigra,F,43.565,0.204,0.196,Low,Low,43.565,39.2,0.149,0.821,0.808,UBERON:0002038
789634,218,Breast - Mammary Tissue,F,513.3,0.714,0.686,Medium,Medium,513.3,529.35,-0.044,0.821,0.808,UBERON:0001911
789642,218,Colon - Sigmoid,F,1856,0.969,0.98,High,High,1856,1876,-0.015,0.821,0.808,UBERON:0001159
789644,218,Colon - Transverse,F,355.45,0.633,0.588,Medium,Medium,355.45,369.4,-0.055,0.821,0.808,UBERON:0001157
789646,218,Esophagus - Gastroesophageal Junction,F,1463,0.929,0.922,High,High,1463,1563.5,-0.096,0.821,0.808,UBERON:0007650
789648,218,Esophagus - Mucosa,F,180.1,0.439,0.412,Medium,Medium,180.1,168.2,0.098,0.821,0.808,UBERON:0002469
789650,218,Esophagus - Muscularis,F,1473,0.939,0.941,High,High,1473,1443,0.03,0.821,0.808,UBERON:0004648
789652,218,Fallopian Tube,F,1402,0.898,0.882,High,High,,,,0.821,0.808,UBERON:0003889
789653,218,Heart - Atrial Appendage,F,192.9,0.459,0.431,Medium,Medium,192.9,216.6,-0.166,0.821,0.808,UBERON:0006618
789655,218,Heart - Left Ventricle,F,131.5,0.378,0.353,Medium,Medium,131.5,136.2,-0.05,0.821,0.808,UBERON:0002084
789657,218,Kidney - Cortex,F,209.6,0.49,0.471,Medium,Medium,209.6,119,0.811,0.821,0.808,UBERON:0001225
789659,218,Liver,F,71.41,0.316,0.314,Medium,Medium,71.41,58.2,0.291,0.821,0.808,UBERON:0002107
789661,218,Lung,F,377.6,0.663,0.627,Medium,Medium,377.6,392.1,-0.054,0.821,0.808,UBERON:0002048
789663,218,Minor Salivary Gland,F,169.1,0.429,0.392,Medium,Medium,169.1,181.9,-0.105,0.821,0.808,UBERON:0001830
789665,218,Muscle - Skeletal,F,49.67,0.214,0.216,Low,Low,49.67,55.04,-0.145,0.821,0.808,UBERON:0001134
789667,218,Nerve - Tibial,F,379.05,0.673,0.647,Medium,Medium,379.05,435.8,-0.201,0.821,0.808,UBERON:0001323
789669,218,Ovary,F,1458,0.918,0.902,High,High,,,,0.821,0.808,UBERON:0000992
789670,218,Pancreas,F,51.395,0.235,0.235,Low,Low,51.395,51.13,0.007,0.821,0.808,UBERON:0001264
789672,218,Pituitary,F,384.8,0.684,0.667,Medium,Medium,384.8,296.1,0.377,0.821,0.808,UBERON:0000007
789674,218,Prostate,M,606.5,0.755,0.809,High,High,,,,0.821,0.846,UBERON:0002367
789675,218,Skin - Not Sun Exposed (Suprapubic),F,278.9,0.551,0.529,Medium,Medium,278.9,270.2,0.046,0.821,0.808,UBERON:0002097
789677,218,Skin - Sun Exposed (Lower leg),F,300,0.582,0.549,Medium,Medium,300,315.7,-0.073,0.821,0.808,UBERON:002097
789679,218,Small Intestine - Terminal Ileum,F,216.5,0.5,0.49,Medium,Medium,216.5,223.2,-0.044,0.821,0.808,UBERON:0002116
789681,218,Spleen,F,195.6,0.469,0.451,Medium,Medium,195.6,201.4,-0.042,0.821,0.808,UBERON:0002106
789683,218,Stomach,F,146.85,0.408,0.373,Medium,Medium,146.85,145,0.018,0.821,0.808,UBERON:0000945
789685,218,Testis,M,110.3,0.337,0.362,Medium,Medium,,,,0.821,0.846,UBERON:0000473
789686,218,Thyroid,F,270.5,0.541,0.51,Medium,Medium,270.5,286.9,-0.085,0.821,0.808,UBERON:0002046
789688,218,Uterus,F,1752,0.959,0.961,High,High,,,,0.821,0.808,UBERON:0000995
789689,218,Vagina,F,733.7,0.776,0.745,High,Medium,,,,0.821,0.808,UBERON:0000996
789690,218,Whole Blood,F,1.78,0.01,0.02,Low,Low,1.78,1.813,-0.017,0.821,0.808,UBERON:0000178
1055391,219,Adipose - Subcutaneous,F,187.3,0.929,0.902,High,High,187.3,188.9,-0.012,0.947,0.947,UBERON:0002190
1055393,219,Adipose - Visceral (Omentum),F,112.8,0.837,0.784,High,High,112.8,101.65,0.149,0.947,0.947,UBERON:0014454
1055395,219,Adrenal Gland,F,10.54,0.378,0.353,Medium,Medium,10.54,8.572,0.27,0.947,0.947,UBERON:0002369
1055397,219,Artery - Aorta,F,49.58,0.612,0.569,Medium,Medium,49.58,47.17,0.07,0.947,0.947,UBERON:0000947
1055399,219,Artery - Coronary,F,88.68,0.786,0.745,High,Medium,88.68,82.61,0.101,0.947,0.947,UBERON:0001621
1055401,219,Artery - Tibial,F,61.31,0.684,0.647,Medium,Medium,61.31,63.49,-0.05,0.947,0.947,UBERON:0007610
1055405,219,Brain - Amygdala,F,0.189,0.02,0.02,Low,Low,0.189,0.181,0.01,0.947,0.947,UBERON:0001876
1055407,219,Brain - Anterior cingulate cortex (BA24),F,0.221,0.082,0.059,Low,Low,0.221,0.202,0.023,0.947,0.947,UBERON:0009835
1055409,219,Brain - Caudate (basal ganglia),F,0.25,0.122,0.118,Low,Low,0.25,0.23,0.023,0.947,0.947,UBERON:0002420
1055411,219,Brain - Cerebellar Hemisphere,F,0.22,0.071,0.039,Low,Low,0.22,0.205,0.018,0.947,0.947,UBERON:0002245
1055413,219,Brain - Cerebellum,F,0.385,0.276,0.275,Medium,Medium,0.385,0.311,0.079,0.947,0.947,UBERON:0002037
1055415,219,Brain - Cortex,F,0.293,0.204,0.196,Low,Low,0.293,0.298,-0.006,0.947,0.947,UBERON:0000956
1055417,219,Brain - Frontal Cortex (BA9),F,0.24,0.112,0.098,Low,Low,0.24,0.21,0.035,0.947,0.947,UBERON:0001870
1055419,219,Brain - Hippocampus,F,0.371,0.265,0.255,Medium,Medium,0.371,0.629,-0.249,0.947,0.947,UBERON:0022430
1055421,219,Brain - Hypothalamus,F,0.265,0.143,0.137,Low,Low,0.265,0.276,-0.012,0.947,0.947,UBERON:0001898
1055423,219,Brain - Nucleus accumbens (basal ganglia),F,0.229,0.092,0.078,Low,Low,0.229,0.205,0.028,0.947,0.947,UBERON:0001882
1055425,219,Brain - Putamen (basal ganglia),F,0.289,0.194,0.176,Low,Low,0.289,0.272,0.019,0.947,0.947,UBERON:0001874
1055427,219,Brain - Spinal cord (cervical c-1),F,0.617,0.296,0.294,Medium,Medium,0.617,0.607,0.009,0.947,0.947,UBERON:0006469
1055429,219,Brain - Substantia nigra,F,0.321,0.255,0.235,Medium,Low,0.321,0.319,0.002,0.947,0.947,UBERON:0002038
1055431,219,Breast - Mammary Tissue,F,135,0.878,0.824,High,High,135,122.95,0.134,0.947,0.947,UBERON:0001911
1055439,219,Colon - Sigmoid,F,161.05,0.908,0.882,High,High,161.05,163.9,-0.025,0.947,0.947,UBERON:0001159
1055441,219,Colon - Transverse,F,44.83,0.582,0.529,Medium,Medium,44.83,33.94,0.391,0.947,0.947,UBERON:0001157
1055443,219,Esophagus - Gastroesophageal Junction,F,95.07,0.806,0.765,High,High,95.07,91.745,0.051,0.947,0.947,UBERON:0007650
1055445,219,Esophagus - Mucosa,F,26.98,0.52,0.49,Medium,Medium,26.98,26.3,0.035,0.947,0.947,UBERON:0002469
1055447,219,Esophagus - Muscularis,F,68.535,0.724,0.686,Medium,Medium,68.535,68.355,0.004,0.947,0.947,UBERON:0004648
1055449,219,Fallopian Tube,F,154.2,0.898,0.863,High,High,,,,0.947,0.947,UBERON:0003889
1055450,219,Heart - Atrial Appendage,F,38.17,0.541,0.51,Medium,Medium,38.17,42.09,-0.138,0.947,0.947,UBERON:0006618
1055452,219,Heart - Left Ventricle,F,21.15,0.48,0.451,Medium,Medium,21.15,18.225,0.204,0.947,0.947,UBERON:0002084
1055454,219,Kidney - Cortex,F,18.59,0.469,0.431,Medium,Medium,18.59,8.995,0.971,0.947,0.947,UBERON:0001225
1055456,219,Liver,F,4.327,0.327,0.314,Medium,Medium,4.327,3.654,0.195,0.947,0.947,UBERON:0002107
1055458,219,Lung,F,87.48,0.776,0.725,High,Medium,87.48,104.4,-0.252,0.947,0.947,UBERON:0002048
1055460,219,Minor Salivary Gland,F,56.61,0.643,0.588,Medium,Medium,56.61,58.45,-0.045,0.947,0.947,UBERON:0001830
1055462,219,Muscle - Skeletal,F,14.62,0.429,0.392,Medium,Medium,14.62,14.145,0.045,0.947,0.947,UBERON:0001134
1055464,219,Nerve - Tibial,F,64.445,0.704,0.667,Medium,Medium,64.445,70.77,-0.133,0.947,0.947,UBERON:0001323
1055466,219,Ovary,F,194.9,0.959,0.941,High,High,,,,0.947,0.947,UBERON:0000992
1055467,219,Pancreas,F,13.68,0.408,0.373,Medium,Medium,13.68,13.36,0.032,0.947,0.947,UBERON:0001264
1055469,219,Pituitary,F,4.981,0.337,0.333,Medium,Medium,4.981,5.618,-0.146,0.947,0.947,UBERON:0000007
1055471,219,Prostate,M,53.73,0.633,0.702,Medium,Medium,,,,0.947,0.963,UBERON:0002367
1055472,219,Skin - Not Sun Exposed (Suprapubic),F,56.95,0.653,0.608,Medium,Medium,56.95,41.655,0.442,0.947,0.947,UBERON:0002097
1055474,219,Skin - Sun Exposed (Lower leg),F,59.38,0.673,0.627,Medium,Medium,59.38,49.91,0.246,0.947,0.947,UBERON:002097
1055476,219,Small Intestine - Terminal Ileum,F,46.82,0.592,0.549,Medium,Medium,46.82,40.74,0.196,0.947,0.947,UBERON:0002116
1055478,219,Spleen,F,21.53,0.49,0.471,Medium,Medium,21.53,22.81,-0.08,0.947,0.947,UBERON:0002106
1055480,219,Stomach,F,17.025,0.449,0.412,Medium,Medium,17.025,16.615,0.033,0.947,0.947,UBERON:0000945
1055482,219,Testis,M,13.105,0.388,0.426,Medium,Medium,,,,0.947,0.963,UBERON:0000473
1055483,219,Thyroid,F,74.41,0.745,0.706,Medium,Medium,74.41,76.37,-0.037,0.947,0.947,UBERON:0002046
1055485,219,Uterus,F,230.4,0.969,0.961,High,High,,,,0.947,0.947,UBERON:0000995
1055486,219,Vagina,F,124.85,0.867,0.804,High,High,,,,0.947,0.947,UBERON:0000996
1055487,219,Whole Blood,F,0.287,0.184,0.157,Low,Low,0.287,0.274,0.015,0.947,0.947,UBERON:0000178
197,224,Adipose - Subcutaneous,F,53.98,0.673,0.647,Medium,Medium,53.98,54.71,-0.019,0.55,0.546,UBERON:0002190
199,224,Adipose - Visceral (Omentum),F,53.685,0.653,0.608,Medium,Medium,53.685,51.98,0.046,0.55,0.546,UBERON:0014454
201,224,Adrenal Gland,F,56.34,0.745,0.706,Medium,Medium,56.34,54.21,0.055,0.55,0.546,UBERON:0002369
203,224,Artery - Aorta,F,63.92,0.929,0.922,High,High,63.92,63.72,0.004,0.55,0.546,UBERON:0000947
205,224,Artery - Coronary,F,58.33,0.816,0.784,High,High,58.33,57.76,0.014,0.55,0.546,UBERON:0001621
207,224,Artery - Tibial,F,62.98,0.898,0.882,High,High,62.98,62.23,0.017,0.55,0.546,UBERON:0007610
211,224,Brain - Amygdala,F,17.71,0.041,0.059,Low,Low,17.71,19.99,-0.166,0.55,0.546,UBERON:0001876
213,224,Brain - Anterior cingulate cortex (BA24),F,21.785,0.163,0.157,Low,Low,21.785,20.46,0.086,0.55,0.546,UBERON:0009835
215,224,Brain - Caudate (basal ganglia),F,19.32,0.082,0.098,Low,Low,19.32,20.605,-0.088,0.55,0.546,UBERON:0002420
217,224,Brain - Cerebellar Hemisphere,F,39.89,0.398,0.392,Medium,Medium,39.89,43.72,-0.129,0.55,0.546,UBERON:0002245
219,224,Brain - Cerebellum,F,34.585,0.347,0.333,Medium,Medium,34.585,36.165,-0.063,0.55,0.546,UBERON:0002037
221,224,Brain - Cortex,F,27.17,0.214,0.196,Low,Low,27.17,25.375,0.095,0.55,0.546,UBERON:0000956
223,224,Brain - Frontal Cortex (BA9),F,32.26,0.316,0.314,Medium,Medium,32.26,32.81,-0.024,0.55,0.546,UBERON:0001870
225,224,Brain - Hippocampus,F,18.505,0.061,0.078,Low,Low,18.505,20.41,-0.134,0.55,0.546,UBERON:0022430
227,224,Brain - Hypothalamus,F,23.945,0.173,0.176,Low,Low,23.945,25.615,-0.093,0.55,0.546,UBERON:0001898
229,224,Brain - Nucleus accumbens (basal ganglia),F,21.505,0.153,0.137,Low,Low,21.505,21.31,0.013,0.55,0.546,UBERON:0001882
231,224,Brain - Putamen (basal ganglia),F,15.12,0.031,0.039,Low,Low,15.12,17.86,-0.226,0.55,0.546,UBERON:0001874
233,224,Brain - Spinal cord (cervical c-1),F,27.37,0.224,0.216,Low,Low,27.37,30.17,-0.136,0.55,0.546,UBERON:0006469
235,224,Brain - Substantia nigra,F,20.35,0.102,0.118,Low,Low,20.35,18.9,0.101,0.55,0.546,UBERON:0002038
237,224,Breast - Mammary Tissue,F,58.15,0.806,0.765,High,High,58.15,54.315,0.097,0.55,0.546,UBERON:0001911
245,224,Colon - Sigmoid,F,50.575,0.582,0.549,Medium,Medium,50.575,51.57,-0.028,0.55,0.546,UBERON:0001159
247,224,Colon - Transverse,F,42.45,0.439,0.431,Medium,Medium,42.45,41.335,0.038,0.55,0.546,UBERON:0001157
249,224,Esophagus - Gastroesophageal Junction,F,51.44,0.602,0.588,Medium,Medium,51.44,49.36,0.058,0.55,0.546,UBERON:0007650
251,224,Esophagus - Mucosa,F,53.74,0.663,0.627,Medium,Medium,53.74,53.41,0.009,0.55,0.546,UBERON:0002469
253,224,Esophagus - Muscularis,F,51.275,0.592,0.569,Medium,Medium,51.275,50.345,0.026,0.55,0.546,UBERON:0004648
255,224,Fallopian Tube,F,62.78,0.888,0.863,High,High,,,,0.55,0.546,UBERON:0003889
256,224,Heart - Atrial Appendage,F,31.68,0.306,0.294,Medium,Medium,31.68,33.995,-0.099,0.55,0.546,UBERON:0006618
258,224,Heart - Left Ventricle,F,29.33,0.276,0.275,Medium,Medium,29.33,27.785,0.075,0.55,0.546,UBERON:0002084
260,224,Kidney - Cortex,F,38.78,0.388,0.373,Medium,Medium,38.78,30.695,0.328,0.55,0.546,UBERON:0001225
262,224,Liver,F,27.59,0.235,0.235,Low,Low,27.59,26.76,0.043,0.55,0.546,UBERON:0002107
264,224,Lung,F,54.92,0.735,0.686,Medium,Medium,54.92,54.09,0.022,0.55,0.546,UBERON:0002048
266,224,Minor Salivary Gland,F,46.71,0.51,0.49,Medium,Medium,46.71,44.74,0.061,0.55,0.546,UBERON:0001830
268,224,Muscle - Skeletal,F,37.15,0.378,0.353,Medium,Medium,37.15,36.74,0.016,0.55,0.546,UBERON:0001134
270,224,Nerve - Tibial,F,63.195,0.908,0.902,High,High,63.195,61.96,0.028,0.55,0.546,UBERON:0001323
272,224,Ovary,F,66.19,0.939,0.941,High,High,,,,0.55,0.546,UBERON:0000992
273,224,Pancreas,F,27.9,0.255,0.255,Medium,Medium,27.9,28.705,-0.04,0.55,0.546,UBERON:0001264
275,224,Pituitary,F,44.17,0.48,0.471,Medium,Medium,44.17,44.63,-0.015,0.55,0.546,UBERON:0000007
277,224,Prostate,M,51.6,0.622,0.66,Medium,Medium,,,,0.55,0.532,UBERON:0002367
278,224,Skin - Not Sun Exposed (Suprapubic),F,48.9,0.541,0.51,Medium,Medium,48.9,48.115,0.023,0.55,0.546,UBERON:0002097
280,224,Skin - Sun Exposed (Lower leg),F,50.15,0.561,0.529,Medium,Medium,50.15,48.68,0.042,0.55,0.546,UBERON:002097
282,224,Small Intestine - Terminal Ileum,F,42.575,0.449,0.451,Medium,Medium,42.575,42.77,-0.006,0.55,0.546,UBERON:0002116
284,224,Spleen,F,59.24,0.837,0.824,High,High,59.24,57.33,0.046,0.55,0.546,UBERON:0002106
286,224,Stomach,F,41.68,0.429,0.412,Medium,Medium,41.68,41.45,0.008,0.55,0.546,UBERON:0000945
288,224,Testis,M,77.45,0.959,0.957,High,High,,,,0.55,0.532,UBERON:0000473
289,224,Thyroid,F,58.74,0.827,0.804,High,High,58.74,60.92,-0.052,0.55,0.546,UBERON:0002046
291,224,Uterus,F,67.99,0.949,0.961,High,High,,,,0.55,0.546,UBERON:0000995
292,224,Vagina,F,57.835,0.786,0.725,High,Medium,,,,0.55,0.546,UBERON:0000996
293,224,Whole Blood,F,15.02,0.02,0.02,Low,Low,15.02,13.75,0.119,0.55,0.546,UBERON:0000178
709268,225,Adipose - Subcutaneous,F,32.31,0.352,0.333,Medium,Medium,32.31,32.31,0,0.553,0.529,UBERON:0002190
709270,225,Adipose - Visceral (Omentum),F,31.805,0.306,0.294,Medium,Medium,31.805,31.35,0.02,0.553,0.529,UBERON:0014454
709272,225,Adrenal Gland,F,38.36,0.52,0.51,Medium,Medium,38.36,39.08,-0.026,0.553,0.529,UBERON:0002369
709274,225,Artery - Aorta,F,37.82,0.48,0.451,Medium,Medium,37.82,38.74,-0.034,0.553,0.529,UBERON:0000947
709276,225,Artery - Coronary,F,37.99,0.49,0.471,Medium,Medium,37.99,40.13,-0.077,0.553,0.529,UBERON:0001621
709278,225,Artery - Tibial,F,30.55,0.265,0.275,Medium,Medium,30.55,31.025,-0.022,0.553,0.529,UBERON:0007610
709282,225,Brain - Amygdala,F,30.17,0.245,0.255,Low,Medium,30.17,28.315,0.089,0.553,0.529,UBERON:0001876
709284,225,Brain - Anterior cingulate cortex (BA24),F,34.59,0.429,0.412,Medium,Medium,34.59,32.61,0.083,0.553,0.529,UBERON:0009835
709286,225,Brain - Caudate (basal ganglia),F,33.09,0.408,0.392,Medium,Medium,33.09,34.285,-0.05,0.553,0.529,UBERON:0002420
709288,225,Brain - Cerebellar Hemisphere,F,38.61,0.531,0.529,Medium,Medium,38.61,41.38,-0.098,0.553,0.529,UBERON:0002245
709290,225,Brain - Cerebellum,F,41.03,0.612,0.608,Medium,Medium,41.03,42.045,-0.034,0.553,0.529,UBERON:0002037
709292,225,Brain - Cortex,F,39.47,0.571,0.569,Medium,Medium,39.47,40.385,-0.032,0.553,0.529,UBERON:0000956
709294,225,Brain - Frontal Cortex (BA9),F,43.125,0.684,0.667,Medium,Medium,43.125,44.54,-0.046,0.553,0.529,UBERON:0001870
709296,225,Brain - Hippocampus,F,26.995,0.117,0.127,Low,Low,26.995,31.95,-0.235,0.553,0.529,UBERON:0022430
709298,225,Brain - Hypothalamus,F,32.125,0.327,0.314,Medium,Medium,32.125,30.825,0.058,0.553,0.529,UBERON:0001898
709300,225,Brain - Nucleus accumbens (basal ganglia),F,32.505,0.378,0.373,Medium,Medium,32.505,38.19,-0.226,0.553,0.529,UBERON:0001882
709302,225,Brain - Putamen (basal ganglia),F,26.995,0.117,0.127,Low,Low,26.995,30.1,-0.152,0.553,0.529,UBERON:0001874
709304,225,Brain - Spinal cord (cervical c-1),F,28.08,0.143,0.176,Low,Low,28.08,29.6,-0.074,0.553,0.529,UBERON:0006469
709306,225,Brain - Substantia nigra,F,29.715,0.224,0.235,Low,Low,29.715,30.38,-0.031,0.553,0.529,UBERON:0002038
709308,225,Breast - Mammary Tissue,F,43.105,0.673,0.647,Medium,Medium,43.105,35.97,0.255,0.553,0.529,UBERON:0001911
709316,225,Colon - Sigmoid,F,25.99,0.092,0.098,Low,Low,25.99,26.64,-0.034,0.553,0.529,UBERON:0001159
709318,225,Colon - Transverse,F,27.19,0.133,0.157,Low,Low,27.19,28.575,-0.069,0.553,0.529,UBERON:0001157
