protein_id,protein_name,Uniprot,geneid
13649,BECN1_HUMAN,A0A024R1X5,8678
20042,NPT2A_HUMAN,A0A024R7R9,6569
10799,PENK_HUMAN,A0A024R7V4,5179
18907,PPBT_HUMAN,A0A024RAB4,249
16898,AT2B1_HUMAN,A0A024RBC7,490
18845,PPARD_HUMAN,A0A024RCW6,5467
6009,HEM2_HUMAN,A0A140VJL9,210
2283,CATA_HUMAN,A0A384P5Q0,847
16733,TGFB1_HUMAN,A0A499FJK2,7040
13543,CP1A1_HUMAN,A0N0X8,1543
11953,LEP_HUMAN,A4D0Y8,3952
13378,BMP7_HUMAN,A8K571,655
19023,PPARG_HUMAN,E9PFV2,5468
985,EPO_HUMAN,G9JKG7,2056
4341,SGK1_HUMAN,O00141,6446
16448,TAF4_HUMAN,O00268,6874
10118,PLOD2_HUMAN,O00469,5352
19662,NR5A2_HUMAN,O00482,2494
2088,CYR61_HUMAN,O00622,3491
10935,PDXK_HUMAN,O00764,8566
913,ENPP3_HUMAN,O14638,5169
16514,TMG2_HUMAN,O14669,5639
15547,ABCD4_HUMAN,O14678,5826
18210,PAHX_HUMAN,O14832,5264
3205,DEGS1_HUMAN,O15121,8560
9019,TIF1A_HUMAN,O15164,8805
4066,S22A2_HUMAN,O15244,6582
4226,S22A1_HUMAN,O15245,6580
13590,BCAT2_HUMAN,O15382,587
18516,P4HA2_HUMAN,O15460,8974
3060,CP27B_HUMAN,O15528,1594
51,CP26A_HUMAN,O43174,1592
7704,SNAI2_HUMAN,O43623,6591
13135,CALU_HUMAN,O43852,813
11572,MED14_HUMAN,O60244,9282
94,CUBN_HUMAN,O60494,8029
9886,PLOD3_HUMAN,O60568,8985
9369,SEP15_HUMAN,O60613,9403
19360,JAK2_HUMAN,O60674,3717
8230,S19A2_HUMAN,O60779,10560
19938,NCOR1_HUMAN,O75376,9611
11579,MED24_HUMAN,O75448,9862
12861,NR1I2_HUMAN,O75469,8856
1262,DHRS3_HUMAN,O75911,9249
3850,PRAF3_HUMAN,O75915,10550
8229,S14L2_HUMAN,O76054,23541
16288,STC2_HUMAN,O76061,8614
15881,AL1A2_HUMAN,O94788,8854
12138,LRAT_HUMAN,O95237,9227
15632,ABCA1_HUMAN,O95477,19
14446,VNN1_HUMAN,O95497,8876
14483,VNN2_HUMAN,O95498,8875
9428,SNAI1_HUMAN,O95863,6615
118,CYB5_HUMAN,P00167,1528
16071,AL1A1_HUMAN,P00352,216
12388,NB5R3_HUMAN,P00387,1727
4782,SODC_HUMAN,P00441,6647
16701,THRB_HUMAN,P00734,2147
1629,FA9_HUMAN,P00740,2158
1457,FA10_HUMAN,P00742,2159
10799,PENK_HUMAN,P01210,5179
9712,TSHB_HUMAN,P01222,7252
3555,PTHY_HUMAN,P01270,5741
7777,TNFA_HUMAN,P01375,7124
5706,IFNG_HUMAN,P01579,3458
985,EPO_HUMAN,P01588,2056
14091,CO1A1_HUMAN,P02452,1277
15433,APOA1_HUMAN,P02647,335
10169,RET4_HUMAN,P02753,5950
15887,ALBU_HUMAN,P02768,213
14493,VTDB_HUMAN,P02774,2638
468,CXL10_HUMAN,P02778,3627
3571,OSTCN_HUMAN,P02818,632
13427,C4BPA_HUMAN,P04003,722
2283,CATA_HUMAN,P04040,847
3720,PROC_HUMAN,P04070,5624
9390,SHBG_HUMAN,P04278,6462
13543,CP1A1_HUMAN,P04798,1543
5444,TYSY_HUMAN,P04818,7298
17275,ARGI1_HUMAN,P05089,383
15518,APOD_HUMAN,P05090,347
393,CP11A_HUMAN,P05108,1583
18907,PPBT_HUMAN,P05186,249
11340,KPCB_HUMAN,P05771,5579
13222,CALB1_HUMAN,P05937,793
9980,PRGR_HUMAN,P06401,5241
3654,PYGL_HUMAN,P06737,5836
760,GPX1_HUMAN,P07203,2876
3908,PROS_HUMAN,P07225,5627
6521,FES_HUMAN,P07332,2242
6956,IGF1R_HUMAN,P08069,3480
11805,MGP_HUMAN,P08493,4256
574,CP3A4_HUMAN,P08684,1576
2087,FA7_HUMAN,P08709,2155
1252,DOPO_HUMAN,P09172,1621
17594,GSTA2_HUMAN,P09210,2939
5993,GSTP1_HUMAN,P09211,2950
10026,RET1_HUMAN,P09455,5947
6069,HMOX1_HUMAN,P09601,3162
11868,LOX5_HUMAN,P09917,240
10723,RARA_HUMAN,P10276,5914
18638,OSTP_HUMAN,P10451,6696
9885,RET3_HUMAN,P10745,5949
6267,HEM4_HUMAN,P10746,7390
17752,GTR1_HUMAN,P11166,6513
5942,GTR3_HUMAN,P11169,6515
9835,PIM1_HUMAN,P11309,5292
5290,VDR_HUMAN,P11473,7421
2811,CP2C9_HUMAN,P11712,1559
1464,FA5_HUMAN,P12259,2153
4518,RLBP1_HUMAN,P12271,6017
18515,P4HA1_HUMAN,P13674,5033
18838,PPA5_HUMAN,P13686,54
6009,HEM2_HUMAN,P13716,210
14636,TYRO_HUMAN,P14679,7299
17695,GLNA_HUMAN,P15104,2752
19130,NQO1_HUMAN,P15559,1728
8889,TFE2_HUMAN,P15923,6929
18865,NQO2_HUMAN,P16083,4835
2304,CBR1_HUMAN,P16152,873
8616,UD2B7_HUMAN,P16662,7364
19440,KPCA_HUMAN,P17252,5578
19373,KAPCA_HUMAN,P17612,5566
