mondoid,protein_id,did,name
MONDO:0010311,5115,DOID:9883,Becker muscular dystrophy
MONDO:0010311,7536,DOID:9883,Becker muscular dystrophy
MONDO:0010311,4070,DOID:9883,Becker muscular dystrophy
MONDO:0010311,12742,DOID:9883,Becker muscular dystrophy
MONDO:0010311,1836,DOID:9883,Becker muscular dystrophy
MONDO:0010311,5776,DOID:9883,Becker muscular dystrophy
MONDO:0010311,18122,DOID:9883,Becker muscular dystrophy
MONDO:0010311,5507,DOID:9883,Becker muscular dystrophy
MONDO:0010311,19947,DOID:9883,Becker muscular dystrophy
MONDO:0010311,78,DOID:9883,Becker muscular dystrophy
MONDO:0010311,18638,DOID:9883,Becker muscular dystrophy
MONDO:0010311,13270,DOID:9883,Becker muscular dystrophy
MONDO:0010311,751,DOID:9883,Becker muscular dystrophy
MONDO:0010311,5053,DOID:9883,Becker muscular dystrophy
MONDO:0010311,1497,DOID:9883,Becker muscular dystrophy
MONDO:0010311,216,DOID:9883,Becker muscular dystrophy
MONDO:0010311,4433,DOID:9883,Becker muscular dystrophy
MONDO:0010311,8204,DOID:9883,Becker muscular dystrophy
MONDO:0010311,13684,DOID:9883,Becker muscular dystrophy
MONDO:0010311,37,DOID:9883,Becker muscular dystrophy
MONDO:0010311,13089,DOID:9883,Becker muscular dystrophy
MONDO:0010311,15601,DOID:9883,Becker muscular dystrophy
MONDO:0010311,20324,DOID:9883,Becker muscular dystrophy
MONDO:0010311,20181,DOID:9883,Becker muscular dystrophy
MONDO:0010311,20241,DOID:9883,Becker muscular dystrophy
MONDO:0010311,11865,DOID:9883,Becker muscular dystrophy
MONDO:0010311,11951,DOID:9883,Becker muscular dystrophy
MONDO:0010311,540,DOID:9883,Becker muscular dystrophy
MONDO:0010311,15967,DOID:9883,Becker muscular dystrophy
MONDO:0010311,987,DOID:9883,Becker muscular dystrophy
MONDO:0010311,16085,DOID:9883,Becker muscular dystrophy
MONDO:0010311,8835,DOID:9883,Becker muscular dystrophy
MONDO:0010311,20299,DOID:9883,Becker muscular dystrophy
MONDO:0010311,18654,DOID:9883,Becker muscular dystrophy
MONDO:0010311,15345,DOID:9883,Becker muscular dystrophy
MONDO:0010311,17307,DOID:9883,Becker muscular dystrophy
MONDO:0010311,5320,DOID:9883,Becker muscular dystrophy
MONDO:0010311,18121,DOID:9883,Becker muscular dystrophy
MONDO:0010311,218,DOID:9883,Becker muscular dystrophy
MONDO:0010311,686,DOID:9883,Becker muscular dystrophy
MONDO:0010311,2892,DOID:9883,Becker muscular dystrophy
MONDO:0010311,8391,DOID:9883,Becker muscular dystrophy
MONDO:0010311,9309,DOID:9883,Becker muscular dystrophy
MONDO:0010311,2655,DOID:9883,Becker muscular dystrophy
MONDO:0010311,16822,DOID:9883,Becker muscular dystrophy
MONDO:0010311,8825,DOID:9883,Becker muscular dystrophy
MONDO:0010311,18050,DOID:9883,Becker muscular dystrophy
MONDO:0010311,9207,DOID:9883,Becker muscular dystrophy
MONDO:0010311,19717,DOID:9883,Becker muscular dystrophy
MONDO:0010311,15819,DOID:9883,Becker muscular dystrophy
MONDO:0010311,9350,DOID:9883,Becker muscular dystrophy
MONDO:0010311,8831,DOID:9883,Becker muscular dystrophy
MONDO:0010311,7681,DOID:9883,Becker muscular dystrophy
MONDO:0010311,263,DOID:9883,Becker muscular dystrophy
MONDO:0010311,1848,DOID:9883,Becker muscular dystrophy
MONDO:0010311,9109,DOID:9883,Becker muscular dystrophy
MONDO:0010311,3665,DOID:9883,Becker muscular dystrophy
MONDO:0010311,19881,DOID:9883,Becker muscular dystrophy
MONDO:0010311,6825,DOID:9883,Becker muscular dystrophy
MONDO:0010311,7846,DOID:9883,Becker muscular dystrophy
MONDO:0010311,15357,DOID:9883,Becker muscular dystrophy
MONDO:0010311,12989,DOID:9883,Becker muscular dystrophy
MONDO:0010311,19551,DOID:9883,Becker muscular dystrophy
MONDO:0010311,7974,DOID:9883,Becker muscular dystrophy
MONDO:0010311,12714,DOID:9883,Becker muscular dystrophy
MONDO:0010311,9439,DOID:9883,Becker muscular dystrophy
MONDO:0010311,4160,DOID:9883,Becker muscular dystrophy
MONDO:0010311,219,DOID:9883,Becker muscular dystrophy
MONDO:0010311,5862,DOID:9883,Becker muscular dystrophy
MONDO:0010311,18124,DOID:9883,Becker muscular dystrophy
MONDO:0010311,8933,DOID:9883,Becker muscular dystrophy
MONDO:0010311,5456,DOID:9883,Becker muscular dystrophy
MONDO:0010311,14101,DOID:9883,Becker muscular dystrophy
MONDO:0010311,20196,DOID:9883,Becker muscular dystrophy
MONDO:0010311,6547,DOID:9883,Becker muscular dystrophy
MONDO:0010311,20149,DOID:9883,Becker muscular dystrophy
MONDO:0010311,9968,DOID:9883,Becker muscular dystrophy
MONDO:0010311,5584,DOID:9883,Becker muscular dystrophy
MONDO:0010311,8916,DOID:9883,Becker muscular dystrophy
MONDO:0010311,16468,DOID:9883,Becker muscular dystrophy
MONDO:0010311,4284,DOID:9883,Becker muscular dystrophy
MONDO:0010311,10604,DOID:9883,Becker muscular dystrophy
MONDO:0010311,35,DOID:9883,Becker muscular dystrophy
MONDO:0010311,17025,DOID:9883,Becker muscular dystrophy
MONDO:0010311,2423,DOID:9883,Becker muscular dystrophy
MONDO:0010311,15434,DOID:9883,Becker muscular dystrophy
MONDO:0010311,1658,DOID:9883,Becker muscular dystrophy
MONDO:0010311,13022,DOID:9883,Becker muscular dystrophy
MONDO:0010311,8631,DOID:9883,Becker muscular dystrophy
MONDO:0010311,15605,DOID:9883,Becker muscular dystrophy
MONDO:0010311,8867,DOID:9883,Becker muscular dystrophy
MONDO:0010311,13150,DOID:9883,Becker muscular dystrophy
MONDO:0010311,17269,DOID:9883,Becker muscular dystrophy
MONDO:0010311,12956,DOID:9883,Becker muscular dystrophy
MONDO:0010311,13053,DOID:9883,Becker muscular dystrophy
MONDO:0010311,1969,DOID:9883,Becker muscular dystrophy
MONDO:0010311,9625,DOID:9883,Becker muscular dystrophy
